,Unnamed: 0_x,id,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,last_seen,model,hidden,flagged,downgraded,age,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg,fips_id,Unnamed: 0_y,OBJECTID,GEOID20,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,E5_Ret,E5_Off,E5_Ind,E5_Svc,E5_Ent,E8_Ret,E8_off,E8_Ind,E8_Svc,E8_Ent,E8_Ed,E8_Hlth,E8_Pub,E_LowWageWk,E_MedWageWk,E_HiWageWk,E_PctLowWage,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMLX,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4B025,D4B050,D4C,D4D,D4E,D5AR,D5AE,D5BR,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
175,2842,8956,33.771659,-118.125281,CCA 4th and Los Altos,outside,5.81,92.0,33.333333333333336,13.0,1017.28,2022-02-12 21:40:19,PMS5003+PMS5003+BME280,False,False,False,1,False,8.56,9.84,11.07,14.3,10.95,15.29,060375776031,44911,44912,60375776031.0,6,37,577603,1,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,122.8398346,0.0,122.8398346,122.83983,2066,877.0,865.0,0.642,22,0.025433526,336,0.388439306,507,0.586127168,842,162,181,499,0.19239905,96,1,26,3,51,15,1,26,3,30,15,0,21,0,32,38,26,0.333333333,7.139378164,16.81864913,0.781505477,0.008140682,0.211657733,0.024422046,0.415174785,0.122110231,0.008140682,0.211657733,0.024422046,0.244220462,0.122110231,0.0,0.170954323,0.0,7.920883642,0,0.110982659,0.70565021,0.70565021,0.834720915,0.719240754,0.2446233,0.363825157,0.402541731,0.045950586,0.08880666,0.204690832,8.770833333,0.000421862,23.03993117,0.0,3.809500709,19.23043046,107.6862407,0.0,10.42007264,15.63010896,26.05018161,67.73047218,777.85,0.0,0.0,7.0,36.47025425,0.00338819,304768,290703,138705,119066,0.000122828,0.445267152,0.000133181,0.565357755,7.53e-05,0.116196466,8.82e-05,0.118829648,4,16,15,14,13.0,2901.866814,497126.8037
176,2843,28481,33.994369,-118.19114,CCA 52nd St and Gifford,outside,0.0,112.0,44.44444444444444,2.0,1012.77,2022-02-12 21:39:27,PMS5003+PMS5003+BME280,False,False,False,1,False,0.0,0.0,0.0,0.0,0.0,0.0,060375334011,38667,38668,60375334011.0,6,37,533401,1,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,63.9054962,0.0,63.9054962,63.9054962,2785,579.0,579.0,0.613,67,0.115716753,203,0.350604491,309,0.533678756,941,204,466,271,0.216790648,127,13,0,75,39,0,13,0,75,4,0,0,35,0,32,74,21,0.251968504,9.060253569,43.57997615,1.987309505,0.203425382,0.0,1.173607975,0.610276147,0.0,0.203425382,0.0,1.173607975,0.062592425,0.0,0.0,0.547683722,0.0,11.04756307,0,0.219343696,0.825500295,0.563491615,0.727444612,0.484963075,0.457595248,0.369097596,0.359858936,0.056600779,0.087225275,0.237827715,7.409448819,0.001645931,23.57697952,0.0,0.0,23.57697952,113.5076078,0.0,0.0,0.0,20.02957611,100.1478806,619.6,0.0,0.0,1.0,10.01478806,0.000359066,441184,386180,102289,88615,0.000177807,0.644571422,0.000176923,0.751040952,5.55e-05,0.08568992,6.57e-05,0.088439095,9,8,15,15,12.83333333,2841.739751,258623.7171
177,2844,28477,33.989091,-118.185192,CCA 57th and Atlantic #1,outside,0.14,92.0,33.333333333333336,8.0,1012.7,2022-02-12 21:38:56,PMS5003+PMS5003+BME280,False,False,False,2,False,0.11,0.45,2.12,9.81,9.8,15.37,060375337012,38786,38787,60375337012.0,6,37,533701,2,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,65.1916517,0.0,65.1916517,65.1916517,1888,610.0,565.0,0.585,96,0.169911504,233,0.412389381,236,0.417699115,863,209,420,234,0.242178447,911,73,5,28,563,242,73,5,28,493,242,8,62,0,503,364,44,0.552140505,9.357026308,28.96076339,13.97418191,1.119775279,0.076696937,0.429502847,8.6360751,3.712131748,1.119775279,0.076696937,0.429502847,7.562317983,3.712131748,0.122715099,0.951042018,0.0,23.33120822,0,1.612389381,0.613516593,0.613516593,0.640711252,0.599567963,0.711510875,0.650876817,0.718476637,0.454035986,0.650946767,0.972942503,0.947310648,0.94867467,23.25217812,0.0,3.735795953,19.51638217,121.0854426,0.0,0.0,29.45162379,19.63441586,78.53766344,256.15,0.0,0.0,8.67,85.11519275,0.004592161,419529,370040,104649,72476,0.000169079,0.612933388,0.000169529,0.719651959,5.68e-05,0.087666948,5.37e-05,0.072332131,17,12,16,18,16.16666667,2087.267265,263826.9245
178,2845,25807,34.192117,-118.315645,CCA 5th and Cornell,outside,0.71,93.0,33.88888888888889,7.0,995.12,2022-02-12 21:41:20,PMS5003+PMS5003+BME280,False,False,False,0,False,0.43,0.56,1.03,2.8,2.8,9.22,060373106021,53441,53442,60373106021.0,6,37,310602,1,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,104.787697,0.0,104.787697,104.787697,1167,466.0,466.0,0.695,25,0.053648069,131,0.28111588,310,0.665236052,626,150,166,310,0.239616613,899,288,87,6,242,276,288,87,6,18,276,200,24,0,362,307,230,0.402669633,4.447086951,11.13680359,8.579251436,2.748414253,0.830250139,0.05725863,2.309431421,2.633896993,2.748414253,0.830250139,0.05725863,0.171775891,2.633896993,1.908621009,0.229034521,0.0,13.02633839,0,1.929184549,0.832535386,0.832535386,0.76881374,0.719444346,0.850802032,0.767417386,0.852557657,0.448123334,0.870280736,0.820983607,0.696329255,0.738103851,32.51916694,0.0,3.178389237,29.3407777,291.2097591,0.0,48.86069784,30.53793615,195.4427913,97.72139567,203.85,0.0,0.00457035,8.67,52.95278128,0.007429306,405369,321375,419539,304336,0.000163373,0.592245577,0.000147233,0.625008508,0.000227763,0.351457765,0.00022547,0.303731877,20,16,20,19,19.0,2790.170132,424069.9929
179,2847,28471,33.98329,-118.183926,CCA 61st and King,outside,0.07,108.0,42.22222222222222,5.0,1011.87,2022-02-12 21:39:54,PMS5003+PMS5003+BME280,False,False,False,1,False,0.18,0.47,1.81,11.25,11.42,17.46,060375337021,38792,38793,60375337021.0,6,37,533702,1,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,53.5290259,0.0,53.5290259,53.5290259,2496,653.0,636.0,0.637,43,0.067610063,228,0.358490566,365,0.573899371,852,184,427,241,0.215962441,107,7,9,1,67,23,7,9,1,16,23,0,51,0,51,43,13,0.476635514,12.19898903,46.62890755,1.998915508,0.130770173,0.16813308,0.018681453,1.251657374,0.429673427,0.130770173,0.16813308,0.018681453,0.298903254,0.429673427,0.0,0.952754121,0.0,14.19790454,0,0.168238994,0.654814555,0.654814555,0.780287682,0.672338133,0.314745632,0.496783088,0.552010491,0.315600555,0.082212831,0.223149114,7.962616822,0.000946616,25.79440201,0.0,0.0,25.79440201,147.4788653,0.0,0.0,0.0,59.78065071,107.6051713,426.48,0.0,0.0,9.0,107.6051713,0.003605769,425502,382119,125333,130996,0.000171487,0.621659963,0.000175062,0.743143139,6.8e-05,0.104994425,9.7e-05,0.130735966,5,14,17,16,14.16666667,1876.964307,216629.9763
180,2848,54975,33.865569,-118.17351,CCA 61st and Walnut,outside,0.07,93.0,33.88888888888889,7.0,1016.78,2022-02-12 21:39:45,PMS5003+PMS5003+BME280,False,False,False,1,False,0.01,0.41,2.47,12.14,11.91,17.74,060375705024,40958,40959,60375705024.0,6,37,570502,4,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,50.9448541,0.0,50.9448541,50.9448541,1339,392.0,375.0,0.64,26,0.069333333,130,0.346666667,219,0.584,596,133,227,236,0.223154362,28,2,0,5,21,0,2,0,5,2,0,0,19,0,18,7,3,0.642857143,7.694594615,26.28332191,0.549613901,0.039258136,0.0,0.098145339,0.412210426,0.0,0.039258136,0.0,0.098145339,0.039258136,0.0,0.0,0.37295229,0.0,8.244208516,0,0.074666667,0.648001619,0.442329919,0.68367276,0.45578184,0.217667455,0.256989561,0.277441362,0.007820054,0.040965618,0.08974359,21.28571429,1.55e-09,25.94230983,0.0,0.0,25.94230983,171.705664,0.0,0.0,0.0,50.25041381,138.188638,925.37,0.0,0.0,-99999.0,-99999.0,-99999.0,386317,374970,134496,155322,0.000155694,0.564410536,0.000171787,0.729239799,7.3e-05,0.112670487,0.000115072,0.155013678,3,7,18,13,12.0,2358.964099,206171.4113
181,2849,54917,33.876391,-118.181732,CCA 67th and Myrtle,outside,29.7,64.0,17.77777777777778,100.0,1016.49,2022-02-12 08:43:46,PMS5003+PMS5003+BME280,False,False,False,777,False,29.7,26.37,22.57,11.61,13.85,18.4,060375702024,52548,52549,60375702024.0,6,37,570202,4,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,79.1943145,0.0,79.1943145,78.48515687,917,252.0,252.0,0.562,7,0.027777778,56,0.222222222,189,0.75,478,112,189,177,0.234309623,50,17,0,3,30,0,17,0,3,20,0,0,10,0,26,22,2,0.52,3.210798195,11.68373788,0.637063134,0.216601466,0.0,0.038223788,0.38223788,0.0,0.216601466,0.0,0.038223788,0.254825254,0.0,0.0,0.127412627,0.0,3.847861329,0,0.198412698,0.766508177,0.523223229,0.882932108,0.588621406,0.424296717,0.462329222,0.508581141,0.327577525,0.103412616,0.189393939,9.56,0.000191619,27.27309766,7.443008915,2.495069828,17.33501892,107.7814746,8.081388216,0.0,16.16277643,88.89527038,32.32555287,226.65,0.0,0.0,6.33,51.15518741,0.006902944,467517,450089,130816,198080,0.00018842,0.68304403,0.000206202,0.875330858,7.1e-05,0.109587664,0.000146749,0.197686801,8,11,15,19,14.5,2428.385243,320493.4224
182,2850,1517,34.059804,-118.286225,CCA 7th and Magnolia,outside,1.57,79.0,26.11111111111111,23.0,1009.99,2022-02-12 21:39:53,PMS5003+PMS5003+BME280,False,False,False,1,False,1.65,2.03,2.65,6.18,5.67,9.27,060372122041,31827,31828,60372122041.0,6,37,212204,1,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,34.9836767,0.0,34.9836767,34.29363,1838,710.0,684.0,0.562,188,0.274853801,359,0.524853801,137,0.200292398,621,143,313,165,0.230273752,1187,53,490,41,542,61,53,490,41,131,61,307,104,0,301,421,465,0.253580455,20.7035534,53.59595937,34.61284209,1.545476521,14.28836784,1.195557309,15.80468443,1.778755996,1.545476521,14.28836784,1.195557309,3.819951402,1.778755996,8.952099851,3.032633174,0.0,55.31639549,0,1.735380117,0.702602524,0.702602524,0.81153434,0.759421641,0.766821908,0.656772232,0.721334776,0.516743508,0.784793388,0.686946903,0.52316765,0.620746588,30.40841197,0.0,6.639955325,23.76845665,213.5121492,0.0,91.47123178,36.58849271,146.3539709,18.29424636,77.78,0.33439973,0.980276964,74.33,1359.811332,0.040440696,563064,448394,707027,440445,0.000226927,0.822638543,0.000205425,0.872034431,0.000383838,0.592293277,0.000326308,0.439570694,18,18,19,20,19.0,1655.732582,141577.111
183,2858,8994,34.108917,-118.265711,CCA Auburn and Avenel,outside,0.21,108.0,42.22222222222222,1.0,1002.83,2022-02-12 21:41:11,PMS5003+PMS5003+BME280,False,False,False,0,False,0.4,1.99,3.19,5.63,5.36,10.67,060371882012,49692,49693,60371882012.0,6,37,188201,2,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,59.0512167,0.0,59.0512167,59.0512167,856,546.0,484.0,0.881,0,0.0,291,0.601239669,193,0.398760331,531,160,120,251,0.301318267,299,43,14,44,170,28,43,14,44,122,28,36,12,0,63,96,140,0.210702341,9.246210841,14.49589099,5.063401175,0.72818144,0.237082329,0.745115892,2.878856855,0.474164658,0.72818144,0.237082329,0.745115892,2.066003155,0.474164658,0.609640275,0.203213425,0.0,14.30961202,0,0.617768595,0.774824231,0.774824231,0.861135536,0.805837696,0.63689731,0.668048921,0.723264043,0.744654864,0.517748918,0.720481928,1.775919732,0.460280252,31.19041215,2.183580461,14.21459361,14.79223808,177.0828881,21.67609867,86.7043947,43.35219735,97.54244403,10.83804934,288.34,0.0,0.0,4.33,46.92875363,0.005058411,483250,396115,416132,230162,0.00019476,0.70603,0.000181474,0.77036249,0.000225914,0.34860364,0.000170518,0.229705117,14,19,19,18,17.83333333,2098.645669,238978.9011
184,2859,56119,34.27685,-118.41315,CCA Avenida Bonita and Villa Del Sol,outside,0.03,86.0,30.0,8.0,981.58,2022-02-12 21:41:17,PMS5003+PMS5003+BME280,False,False,False,0,False,0.19,0.35,0.64,2.43,2.55,8.17,060371042031,45577,45578,60371042031.0,6,37,104203,1,348.0,"Los Angeles-Long Beach, CA",31080.0,"Los Angeles-Long Beach-Anaheim, CA",13262234,6249699,5825012,87.4734,0.0,87.4734,87.4734,2967,678.0,678.0,0.605,122,0.179941003,122,0.179941003,434,0.640117994,972,222,452,298,0.228395062,491,161,97,41,103,89,161,97,41,0,89,0,103,0,156,184,151,0.317718941,7.750927711,33.91888277,5.613134964,1.84055953,1.108908537,0.468713918,1.177500817,1.017452163,1.84055953,1.108908537,0.468713918,0.0,1.017452163,0.0,1.177500817,0.0,13.36406268,0,0.724188791,0.950957321,0.950957321,0.950957321,0.736018173,0.738456568,0.783359889,0.858168815,0.727624747,0.283979179,0.671223513,1.979633401,0.375448713,27.5623188,0.0,5.658374266,21.90394453,190.3097399,0.0,87.7981192,14.63301987,153.6467086,14.63301987,362.1,0.0,0.0,9.0,65.8485894,0.003033367,245484,235573,455419,343993,9.89e-05,0.358653013,0.000107924,0.458141204,0.000247242,0.381515291,0.00025485,0.343310156,17,17,19,17,17.66666667,2488.816562,353999.3753
