,id,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,last_seen,model,hidden,flagged,downgraded,age,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg,fips_id
5835,113238,38.333199,-121.956668,Heritage Lane AQI,outside,22.39,75.0,23.88888888888889,38.0,1018.3,2022-02-12 21:39:36,PMS5003+PMS5003+BME280,False,False,False,1,False,22.26,20.98,20.34,20.43,18.09,18.64,060952529142003
5836,6572,37.354479,-122.080189,Heritage Oaks Park,outside,11.58,86.0,30.0,27.0,1011.45,2022-02-12 21:39:39,PMS5003+PMS5003+BME280,False,False,False,1,False,13.26,13.39,13.62,9.67,7.06,8.83,060855100013001
5837,74865,37.588049,-122.035141,Heritage Pointe,outside,23.78,79.0,26.11111111111111,33.0,1019.75,2022-02-12 21:40:45,PMS5003+PMS5003+BME280,False,False,False,0,False,25.42,25.73,24.97,18.25,15.56,19.35,060014403081014
5838,118141,38.771641,-121.386989,Heritage-Solaire-Gemini-2,inside,0.76,79.0,26.11111111111111,29.0,1018.35,2022-02-12 21:40:50,PMS5003+PMS5003+BME280,False,False,False,0,False,0.74,0.78,1.33,5.21,6.23,5.19,060610213222096
5839,104036,38.622984,-90.421746,Hermitage Hill,outside,6.03,35.0,1.6666666666666667,33.0,1007.21,2022-02-12 21:40:22,PMS5003+PMS5003+BME280,False,False,False,1,False,5.91,5.88,6.13,5.29,5.92,12.73,291892176003012
5840,85621,33.859295,-118.387197,Hermosa Hill,outside,6.97,103.0,39.44444444444444,9.0,1012.34,2022-02-12 21:40:33,PMS5003+PMS5003+BME280,False,False,False,0,False,8.71,7.27,8.02,15.95,12.27,15.97,060376211022007
5841,50801,38.122642,-122.246995,"Hermosa St, Vallejo",outside,26.14,80.0,26.666666666666668,36.0,1020.19,2022-02-12 21:39:45,PMS5003+PMS5003+BME280,False,False,False,1,False,27.55,27.64,28.84,31.76,25.17,23.42,060952514003011
5842,60019,37.792139,-122.392011,Heron's Nest,outside,35.07,71.0,21.666666666666668,42.0,1012.77,2022-02-12 21:40:13,PMS5003+PMS5003+BME280,False,False,False,1,False,36.97,39.79,40.14,27.58,18.9,18.83,060750615001004
5843,103598,37.864081,-122.268711,Herrick Hospital,inside,5.77,92.0,33.333333333333336,20.0,1014.36,2022-02-12 21:39:56,PMS5003+PMS5003+BME280,False,False,False,1,False,5.94,6.04,5.99,4.7,3.5,3.85,060014229001014
5844,90849,38.336407,-76.541544,HES Back Sensor,outside,7.33,62.0,16.666666666666668,36.0,1013.23,2022-02-12 21:39:28,PMS5003+PMS5003+BME280,False,False,False,1,False,8.2,9.83,12.0,15.63,11.34,11.24,240378757002029
5845,85455,38.337484,-76.541587,HES Front Left Sensor,outside,8.09,60.0,15.555555555555555,39.0,1013.54,2022-02-12 21:41:07,PMS5003+PMS5003+BME280,False,False,False,0,False,8.95,10.84,13.32,16.65,11.61,10.98,240378757002029
5846,49931,34.146847,-119.189452,HESD FOT,outside,8.39,83.0,28.333333333333336,30.0,1019.57,2022-02-12 21:41:09,PMS5003+PMS5003+BME280,False,False,False,0,False,9.66,8.76,6.44,5.92,5.24,8.32,061110044004000
5847,87647,37.984944,-122.301676,HesH,outside,30.26,87.0,30.55555555555556,27.0,1009.61,2022-02-12 21:41:20,PMS5003+PMS5003+BME280,False,False,False,0,False,28.18,26.54,25.83,21.59,15.21,17.09,060133630004011
5848,86397,38.355177,-122.780031,Hessel Road Area,inside,2.38,76.0,24.444444444444446,42.0,1016.16,2022-02-12 21:41:16,PMS5003+PMS5003+BME280,False,False,False,0,False,1.16,1.09,1.09,1.14,1.46,2.18,060971535014003
5849,109528,37.088043,-121.941878,Hester Creek,outside,5.33,83.0,28.333333333333336,20.0,980.31,2022-02-12 21:40:46,PMS5003+PMS5003+BME280,False,False,False,0,False,5.74,5.67,5.23,4.15,3.7,4.53,060871210003001
5850,15793,45.502528,-122.732218,Hewett Blvd 1,outside,0.47,63.0,17.22222222222222,26.0,665.05,2022-02-12 21:40:58,PMS5003+PMS5003+BME280,False,False,False,0,False,0.65,0.82,1.11,2.8,7.83,8.18,410510069002026
5851,77047,37.488034,-122.27111,Hewitt,inside,19.15,81.0,27.222222222222225,29.0,1013.72,2022-02-12 21:39:51,PMS5003+PMS5003+BME280,False,False,False,1,False,19.84,18.7,15.35,7.82,5.22,5.39,060816096021006
5852,114759,38.816973,-77.597901,HH,inside,1.91,71.0,21.666666666666668,20.0,1006.98,2022-02-12 21:40:20,PMS5003+PMS5003+BME280,False,False,False,1,False,2.42,2.65,2.93,3.1,1.77,1.39,511539015042006
5853,78017,48.109071,-122.565962,HH Estates,outside,1.49,59.0,15.0,45.0,1027.04,2022-02-12 21:41:04,PMS5003+PMS5003+BME280,False,False,False,0,False,1.26,1.42,1.7,3.3,5.37,8.26,530299713003038
5854,36353,45.528502,-122.972423,HHF,outside,1.49,63.0,17.22222222222222,21.0,1017.41,2022-02-12 21:40:52,PMS5003+PMS5003+BME280,False,False,False,0,False,1.39,1.72,2.82,6.95,15.41,21.33,410670326063011
5855,23619,41.070592,-74.43497,Hi Lo Acres,outside,19.55,34.0,1.1111111111111112,52.0,990.83,2022-02-09 14:07:28,PMS5003+PMS5003+BME280,False,False,False,4773,False,23.18,24.52,23.78,16.81,13.01,12.72,340312568052009
5856,116151,38.766675,-123.013845,Hiatt rd,outside,0.0,76.0,24.444444444444446,39.0,1008.27,2022-02-12 21:40:54,PMS5003+PMS5003+BME280,False,False,False,0,False,0.05,0.09,0.15,0.43,0.3,0.79,060971542021069
5857,81995,32.823155,-117.272711,Hickman Chris,inside,2.34,86.0,30.0,17.0,1014.41,2022-02-12 21:41:07,PMS5003+PMS5003+BME280,False,False,False,0,False,4.15,6.8,6.43,4.89,3.28,4.22,060730081022007
5858,51301,37.774916,-122.427177,Hickory Air,outside,30.91,79.0,26.11111111111111,34.0,1015.35,2022-02-12 21:39:43,PMS5003+PMS5003+BME280,False,False,False,1,False,30.53,32.85,33.62,24.73,18.44,18.02,060750163002004
5859,126493,43.015018,-89.745228,Hickory Hills,outside,0.0,27.0,-2.7777777777777777,25.0,985.35,2022-02-12 21:39:45,PMS5003+PMS5003+BME280,False,False,False,1,False,0.02,0.03,0.03,0.24,2.28,5.36,550250128001005
5860,79675,37.294296,-121.90773,Hicks and Pine (WG),outside,14.81,70.0,21.11111111111111,38.0,1018.08,2022-01-19 22:59:43,PMS5003+PMS5003+BME280,False,False,False,34481,False,16.62,21.26,24.53,27.09,26.22,15.62,060855023011010
5861,63439,38.61544,-122.851458,Hidden Acres,outside,8.15,83.0,28.333333333333336,25.0,1014.29,2022-02-12 21:39:48,PMS5003+PMS5003+BME280,False,False,False,1,False,8.11,8.95,9.68,10.93,9.12,10.91,060971539033004
5862,37725,37.759573,-122.473659,Hidden Garden Steps,outside,28.56,74.0,23.333333333333336,38.0,1005.83,2022-02-12 21:39:57,PMS5003+PMS5003+BME280,False,False,False,1,False,29.31,30.35,30.37,20.27,12.65,14.46,060750303011004
5863,110380,37.873068,-122.059996,Hidden Meadow,outside,28.89,76.0,24.444444444444446,38.0,1012.68,2022-02-12 21:39:39,PMS5003+PMS5003+BME280,False,False,False,1,False,31.53,33.03,31.74,19.4,13.1,16.92,060133342001032
5864,49715,32.48356,-96.934598,Hidden Meadow,inside,71.46,83.0,28.333333333333336,22.0,1005.05,2022-02-12 21:39:57,PMS5003+PMS5003+BME280,False,False,False,1,False,86.0,44.16,28.86,28.61,26.37,17.33,481390607023000
5865,123853,37.830408,-121.936453,Hidden Oak Drive,outside,19.54,82.0,27.77777777777778,31.0,996.1,2022-02-12 21:40:14,PMS5003+PMS5003+BME280,False,False,False,1,False,20.05,21.09,21.21,11.46,5.6,9.65,060133551123004
5866,71487,32.844395,-117.2483,Hidden Valley,outside,33.17,63.0,17.22222222222222,58.0,1012.13,2022-01-31 18:40:50,PMS5003+PMS5003+BME280,False,False,False,17460,False,30.46,28.06,25.78,17.03,10.39,9.23,060730083032000
5867,112616,39.491994,-119.708058,Hidden Valley,outside,0.0,92.0,33.333333333333336,10.0,869.18,2022-02-12 21:39:52,PMS5003+PMS5003+BME280,False,False,False,1,False,0.01,0.19,0.63,0.81,0.57,1.32,320310021031005
5868,37671,38.145723,-122.178238,"Hiddenbrooke, Vallejo Flood and Wastewater - KCAVALLE34",outside,22.82,89.0,31.666666666666668,26.0,1004.49,2022-02-12 21:39:27,PMS5003+PMS5003+BME280,False,False,False,1,False,23.93,26.56,29.11,28.1,20.04,17.6,060952501061018
5869,79361,37.398831,-122.007512,Hiddenlake Drive,outside,21.32,82.0,27.77777777777778,25.0,1019.7,2022-02-12 21:40:53,PMS5003+PMS5003+BME280,False,False,False,0,False,15.78,16.6,18.37,16.97,14.31,16.73,060855048061007
5870,116559,36.176994,-86.742827,HIDE6,outside,1.16,43.0,6.111111111111112,37.0,1010.24,2022-02-12 21:39:28,PMS5003+PMS5003+BME280,False,False,False,1,False,1.62,2.67,3.07,3.81,5.17,6.52,470370121002038
5871,66449,38.054308,-122.512784,Hideaway Hamilton,outside,34.22,78.0,25.55555555555556,36.0,1020.89,2022-02-12 21:40:42,PMS5003+PMS5003+BME280,False,False,False,0,False,35.68,38.34,38.78,25.8,17.35,16.29,060411050002009
5872,15789,40.635743,-111.396329,Hideout,outside,1.15,58.0,14.444444444444445,18.0,803.57,2022-02-12 21:39:56,PMS5003+PMS5003+BME280,False,False,False,1,False,1.6,1.62,1.54,2.63,5.35,5.29,490519405001948
5873,85777,40.672467,-111.429107,Hideout Carving Edge powered by UTOPIA Fiber,outside,0.98,53.0,11.666666666666668,18.0,808.08,2022-02-12 21:40:58,PMS5003+PMS5003+BME280,False,False,False,0,False,1.8,1.65,1.5,3.21,6.72,6.84,490519405001138
5874,106036,39.743265,-105.007306,High Down In,inside,0.0,89.0,31.666666666666668,7.0,834.26,2022-02-12 21:41:04,PMS5003+PMS5003+BME280,False,False,False,0,False,0.02,0.03,0.04,0.08,0.15,0.2,080310019021039
5875,112800,39.746338,-104.998283,High Downtown,outside,0.0,58.0,14.444444444444445,20.0,835.21,2022-02-12 21:40:11,PMS5003+PMS5003+BME280,False,False,False,1,False,0.0,0.0,0.0,0.03,0.16,1.67,080310017022001
5876,118473,37.379339,-122.244351,High Harmony,outside,5.46,79.0,26.11111111111111,28.0,986.24,2022-02-12 21:40:58,PMS5003+PMS5003+BME280,False,False,False,0,False,6.28,6.49,7.12,4.87,3.0,4.44,060816132004001
5877,80523,45.230314,-123.284922,High Heaved Rd,outside,2.31,67.0,19.444444444444446,22.0,1012.67,2022-02-12 21:39:59,PMS5003+PMS5003+BME280,False,False,False,1,False,2.08,1.88,1.67,2.35,5.72,6.37,410710305011042
5878,88461,40.745508,-111.572222,High Meadows,inside,1.04,78.0,25.55555555555556,20.0,813.41,2022-02-12 21:39:39,PMS5003+PMS5003+BME280,False,False,False,1,False,0.84,0.88,0.75,1.34,1.72,3.44,490439643044012
5879,87209,40.745577,-111.572249,High Meadows,outside,1.79,46.0,7.777777777777779,21.0,814.16,2022-02-12 21:39:39,PMS5003+PMS5003+BME280,False,False,False,1,False,1.33,1.68,2.1,3.18,5.5,7.8,490439643044012
5880,114565,42.202136,-122.721664,High Street,outside,0.0,71.0,21.666666666666668,22.0,953.27,2022-02-12 21:41:03,PMS5003+PMS5003+BME280,False,False,False,0,False,0.13,0.48,1.72,13.18,13.86,4.62,410290021002019
5881,2912,32.993016,-117.01037,High valley,outside,0.0,61.0,16.11111111111111,27.0,968.42,2022-01-22 15:20:18,PMS5003+PMS5003+BME280,False,False,False,30621,False,0.02,0.95,2.79,6.77,6.2,5.32,060730170211000
5882,135352,39.146806,-106.038502,Highcreek Cabin,outside,0.0,47.0,8.333333333333334,16.0,706.59,2022-02-12 21:40:57,PMS5003+PMS5003+BME280,False,False,False,0,False,0.0,0.0,0.0,0.01,0.04,0.21,080930004002077
5883,75611,37.820278,-122.229259,Highland & Caperton,inside,13.1,84.0,28.88888888888889,26.0,1009.06,2022-02-12 21:40:12,PMS5003+PMS5003+BME280,False,False,False,1,False,14.69,14.72,14.87,11.08,6.97,6.46,060014261002002
5884,61845,37.910805,-122.277236,Highland - 2nd sensor,inside,16.72,91.0,32.77777777777778,20.0,994.93,2022-02-12 21:39:53,PMS5003+PMS5003+BME280,False,False,False,1,False,16.63,17.3,16.26,8.29,4.85,4.51,060133920001006
5885,77221,37.821304,-122.229366,Highland and Caperton,outside,39.02,80.0,26.666666666666668,33.0,1008.82,2022-02-12 21:40:33,PMS5003+PMS5003+BME280,False,False,False,0,False,31.92,34.35,33.9,22.8,15.28,16.73,060014261002002
5886,15119,42.454816,-71.398384,Highland,outside,2.02,61.0,16.11111111111111,30.0,1007.28,2022-02-12 21:39:44,PMS5003+PMS5003+BME280,False,False,False,1,False,2.38,2.56,3.06,3.8,5.55,7.58,250173612001027
5887,63515,37.657108,-122.048711,Highland,outside,24.48,90.0,32.22222222222222,20.0,999.99,2022-02-12 21:40:42,PMS5003+PMS5003+BME280,False,False,False,0,False,23.35,23.86,24.62,16.33,11.21,16.34,060014351021023
5888,94621,38.219687,-122.635362,Highland,outside,17.74,77.0,25.0,39.0,1014.09,2022-02-12 21:40:52,PMS5003+PMS5003+BME280,False,False,False,0,False,18.59,20.3,21.28,15.09,11.61,13.63,060971507023000
5889,37031,39.04761,-77.17747,Highland,outside,4.21,60.0,15.555555555555555,30.0,1003.23,2022-02-12 21:39:58,PMS5003+PMS5003+BME280,False,False,False,1,False,4.49,4.73,5.5,12.84,14.54,20.47,240317012063009
5890,80621,45.248381,-122.4157,Highland,outside,1.21,71.0,21.666666666666668,21.0,979.03,2022-02-12 21:39:36,PMS5003+PMS5003+BME280,False,False,False,1,False,1.19,1.55,1.82,2.82,7.46,8.24,410050236001032
5891,60143,37.911278,-122.277184,Highland,outside,23.71,90.0,32.22222222222222,23.0,994.4,2022-02-12 21:40:56,PMS5003+PMS5003+BME280,False,False,False,0,False,25.28,26.99,27.59,22.66,15.34,15.58,060133920001006
5892,77859,47.630139,-122.323894,Highland Dr,outside,3.17,58.0,14.444444444444445,43.0,1017.49,2022-02-12 21:41:02,PMS5003+PMS5003+BME280,False,False,False,0,False,2.67,2.33,2.74,5.75,8.67,10.16,530330066001010
5893,81219,34.245539,-118.505607,Highland Hall Waldorf School,outside,0.24,90.0,32.22222222222222,8.0,986.52,2022-02-12 21:40:48,PMS5003+PMS5003+BME280,False,False,False,0,False,0.44,0.44,0.46,0.58,0.72,6.5,060371151011019
5894,57763,38.759669,-89.673824,Highland Middle School,outside,5.59,26.0,-3.333333333333333,47.0,1011.52,2022-02-12 21:40:20,PMS5003+PMS5003+BME280,False,False,False,1,False,5.48,5.62,5.74,5.49,6.82,12.03,171194036011071
5895,72557,38.416917,-122.944548,Highland Rd.,outside,5.63,82.0,27.77777777777778,24.0,994.03,2022-02-12 21:39:49,PMS5003+PMS5003+BME280,False,False,False,1,False,6.29,5.71,5.47,4.9,4.66,7.33,060971543021004
5896,57825,38.819379,-89.655872,Highland SIUE STEM,outside,6.14,27.0,-2.7777777777777777,46.0,1009.28,2022-02-12 21:39:54,PMS5003+PMS5003+BME280,False,False,False,1,False,5.82,5.7,5.73,5.23,6.52,12.18,171194037021002
5897,20061,37.912159,-122.278033,Highland-Kenyon,inside,15.32,87.0,30.55555555555556,28.0,994.26,2022-02-12 21:39:55,PMS5003+PMS5003+BME280,False,False,False,1,False,13.65,10.96,8.01,3.75,2.78,2.47,060133920001006
5898,44081,34.409938,-119.711017,Highlands,outside,2.0,85.0,29.444444444444446,19.0,1009.11,2022-02-12 21:39:29,PMS5003+PMS5003+BME280,False,False,False,1,False,1.52,1.04,0.84,1.56,1.83,4.54,060830012032000
5899,120853,37.342158,-122.087178,Highlands Go Giants,outside,10.87,83.0,28.333333333333336,25.0,1009.91,2022-02-12 21:40:17,PMS5003+PMS5003+BME280,False,False,False,1,False,14.12,12.99,13.04,7.74,5.37,7.82,060855101001007
5900,88741,37.515249,-122.339114,Highlands inside,inside,11.44,81.0,27.222222222222225,28.0,1002.12,2022-02-12 21:41:10,PMS5003+PMS5003+BME280,False,False,False,0,False,11.85,12.14,11.22,6.2,3.84,4.76,060816069002000
5901,57843,37.51805,-122.34598,Highlands Lexington,outside,16.89,81.0,27.222222222222225,24.0,1000.18,2022-02-12 21:40:17,PMS5003+PMS5003+BME280,False,False,False,1,False,18.15,19.29,18.34,11.19,7.42,9.13,060816069002005
5902,64643,37.527076,-122.349658,Highlands-Brandywine Indoors,inside,2.59,87.0,30.55555555555556,23.0,1001.73,2022-02-12 21:40:58,PMS5003+PMS5003+BME280,False,False,False,0,False,3.3,3.32,3.1,1.43,1.36,2.25,060816069001000
5903,6460,34.10648,-117.212033,HIGHLAND_02,outside,0.0,99.0,37.22222222222222,8.0,975.26,2022-02-12 21:40:02,PMS5003+PMS5003+BME280,False,False,False,1,False,0.07,0.12,0.29,1.18,1.28,4.91,060710076041011
5904,111676,34.04791,-118.50403,Highlighter Bird,outside,0.0,111.0,43.88888888888889,6.0,1005.76,2022-02-12 21:41:09,PMS5003+PMS5003+BME280,False,False,False,0,False,0.0,0.0,0.0,0.73,0.88,4.27,060372628023013
