id,parent,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,last_seen,model,adc,rssi,hidden,flagged,downgraded,age,brightness,hardware,version,last_update_check,created,uptime,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg
103779.0,103778.0,42.38933,-71.04105,DEP 6746 B,,2.45,,,,,,,,,,,,,,,,,2022-02-12 21:40:06,,,,False,False,False,1.0,,,,,,,False,2.02,3.28,4.87,7.5,11.15,14.31
103787.0,103786.0,42.40056,-71.02028,DEP 6C23 B,,0.93,,,,,,,,,,,,,,,,,2022-02-12 21:40:43,,,,False,False,False,0.0,,,,,,,False,1.55,2.37,3.8,6.46,9.98,10.61
103783.0,103782.0,42.39917,-71.02611,DEP B118 B,,1.69,,,,,,,,,,,,,,,,,2022-02-12 21:40:40,,,,False,False,False,0.0,,,,,,,False,1.64,2.26,3.6,6.42,9.02,10.92
103789.0,103788.0,42.39278,-71.03778,DEP D528 B,,18.5,,,,,,,,,,,,,,,,,2022-02-12 21:41:02,,,,False,False,False,0.0,,,,,,,False,5.18,5.32,6.09,7.78,11.47,13.14
103777.0,103776.0,42.40722,-71.02778,DEP FEAD B,,1.45,,,,,,,,,,,,,,,,,2022-02-12 21:39:58,,,,False,False,False,1.0,,,,,,,False,1.36,1.98,3.23,5.77,8.42,10.45
99006.0,99005.0,42.453035,-73.238776,DEP1CF1 B,,4.66,,,,,,,,,,,,,,,,,2022-02-12 21:40:12,,,,False,False,False,1.0,,,,,,,False,3.35,2.95,3.14,5.85,11.03,12.08
99278.0,99277.0,42.387222,-71.026111,DEP1E451 B,,1.09,,,,,,,,,,,,,,,,,2022-02-12 21:40:51,,,,False,False,False,0.0,,,,,,,False,0.83,1.55,2.84,5.75,8.35,10.78
102715.0,102714.0,42.770867,-71.102831,DEP2EAC B,,1.62,,,,,,,,,,,,,,,,,2022-02-12 21:40:02,,,,False,True,False,1.0,,,,,,,False,2.18,2.92,3.94,6.45,10.0,12.72
98992.0,98991.0,42.298514,-72.334575,DEP7417 B,,1.1,,,,,,,,,,,,,,,,,2022-02-12 21:40:49,,,,False,False,False,0.0,,,,,,,False,0.88,1.46,2.45,4.41,7.8,10.39
102713.0,102712.0,42.263978,-71.794836,DEP814E B,,2.38,,,,,,,,,,,,,,,,,2022-02-12 21:40:29,,,,False,False,False,0.0,,,,,,,False,1.71,1.64,2.45,6.68,12.04,17.35
110763.0,110762.0,42.401481,-71.013149,DEP8D87 B,,2.25,,,,,,,,,,,,,,,,,2022-02-12 21:40:45,,,,False,False,False,0.0,,,,,,,False,2.19,2.96,4.79,10.88,12.66,12.81
99106.0,99105.0,42.120163,-72.585146,DEP9A9B B,,0.29,,,,,,,,,,,,,,,,,2022-02-12 21:40:26,,,,False,False,False,0.0,,,,,,,False,0.18,0.23,0.82,6.65,13.54,13.99
16460.0,16459.0,5.116111,-1.293889,"Department of Biomedical Sciences, Science Building, University of Cape Coast, Cape Coast B",,10.22,,,,,,,,,,,,,,,,,2022-02-12 20:46:54,,,,False,False,False,54.0,,,,,,,False,9.13,9.32,10.69,11.21,7.02,6.51
102721.0,102720.0,42.612156,-71.307255,DEPCE62 B,,1.54,,,,,,,,,,,,,,,,,2022-02-12 21:39:31,,,,False,False,False,1.0,,,,,,,False,2.49,3.66,4.64,5.97,9.13,12.84
99004.0,99003.0,41.685728,-71.169764,DEPDB7D B,,1.27,,,,,,,,,,,,,,,,,2022-02-12 21:40:32,,,,False,False,False,0.0,,,,,,,False,5.92,11.11,13.38,10.5,8.26,4.26
123708.0,123707.0,42.40139,-71.01306,DEPE0E1 B,,0.19,,,,,,,,,,,,,,,,,2021-09-21 12:03:03,,,,False,False,False,207938.0,,,,,,,False,0.05,0.05,0.06,0.07,0.23,0.4
99796.0,99795.0,42.1944,-72.5556,DEPFFCE B,,1.26,,,,,,,,,,,,,,,,,2022-02-12 21:40:24,,,,False,False,False,1.0,,,,,,,False,1.19,1.1,1.51,3.69,7.6,9.96
20216.0,20215.0,37.936548,-107.815161,Depot B,,0.07,,,,,,,,,,,,,,,,,2022-02-12 21:41:18,,,,False,False,False,0.0,,,,,,,False,0.01,0.01,0.01,0.07,0.17,0.28
78596.0,78595.0,36.974035,-121.946407,Depot Hill Capitola B,,9.49,,,,,,,,,,,,,,,,,2022-02-12 21:40:11,,,,False,False,False,1.0,,,,,,,False,9.42,10.68,11.56,9.27,8.06,9.35
60300.0,60299.0,37.857886,-122.286499,Derby & Matthews (outside) B,,38.19,,,,,,,,,,,,,,,,,2022-02-12 21:40:36,,,,False,False,False,0.0,,,,,,,False,38.94,39.94,39.16,29.09,20.69,20.45
67706.0,67705.0,37.860767,-122.265746,Derby Street B,,,,,,,,,,,,,,,,,,,2022-02-12 21:40:08,,,,False,False,False,1.0,,,,,,,False,,,,,,
103963.0,103962.0,49.18867,-122.07328,Deroche FVRD B,,1.05,,,,,,,,,,,,,,,,,2022-02-12 21:40:27,,,,False,False,False,0.0,,,,,,,False,0.43,0.45,1.18,5.51,5.81,3.14
123088.0,123087.0,37.267133,-121.882664,Derphinneus Home B,,,,,,,,,,,,,,,,,,,2022-02-12 21:40:44,,,,False,False,False,0.0,,,,,,,False,,,,,,
111122.0,111121.0,38.733641,-119.778164,Derrer Ranch B,,0.0,,,,,,,,,,,,,,,,,2022-02-12 21:39:28,,,,False,False,False,1.0,,,,,,,False,0.0,0.0,0.0,0.34,0.37,0.09
124018.0,124017.0,43.828588,-121.490771,Derringer Inside B,,,,,,,,,,,,,,,,,,,2022-02-12 21:41:09,,,,False,False,False,0.0,,,,,,,False,,,,,,
93022.0,93021.0,38.314054,-76.759076,DES Front Sensor B,,7.09,,,,,,,,,,,,,,,,,2022-02-12 21:40:29,,,,False,False,False,0.0,,,,,,,False,7.14,8.64,11.22,14.44,10.39,11.12
133400.0,133399.0,47.379588,-122.31515,Des Moines WA S 248th B,,0.0,,,,,,,,,,,,,,,,,2022-02-12 21:40:43,,,,False,False,False,0.0,,,,,,,False,0.01,0.23,0.98,5.19,9.42,5.31
36676.0,36675.0,47.406518,-122.316518,"Des Moines, WA B",,1.14,,,,,,,,,,,,,,,,,2022-02-12 21:40:31,,,,False,True,False,0.0,,,,,,,False,1.79,3.0,4.73,9.02,11.5,12.4
2919.0,2918.0,34.700689,-86.724461,DES Office B,,6.13,,,,,,,,,,,,,,,,,2022-02-12 21:41:22,,,,False,False,False,0.0,,,,,,,False,6.86,8.09,8.26,10.89,10.34,10.6
49148.0,49147.0,-27.638905,153.146607,DES Trial Daisy Hill B,,6.59,,,,,,,,,,,,,,,,,2020-07-18 06:50:04,,,,False,False,False,827451.0,,,,,,,False,4.31,2.9,2.33,8.09,6.54,6.54
88906.0,88905.0,39.709249,-119.696181,Descanso Air B,,5.21,,,,,,,,,,,,,,,,,2022-02-12 21:40:10,,,,False,False,False,1.0,,,,,,,False,4.88,4.86,4.98,3.42,2.25,5.05
34912.0,34911.0,40.571663,-112.370911,Deseret Peak B,,9.95,,,,,,,,,,,,,,,,,2022-02-12 21:41:21,,,,False,False,False,0.0,,,,,,,False,10.32,9.7,8.82,7.91,9.65,16.08
85270.0,85269.0,34.197083,-116.141442,Desert Heights B,,0.15,86.0,30.0,4.0,950.91,,,,,,,,,,,,,2022-02-12 21:40:20,,,,False,False,False,1.0,,,,,,,False,0.07,0.08,0.1,0.19,0.34,1.63
29852.0,29851.0,34.240947,-84.806882,DESI Inside B,,,,,,,,,,,,,,,,,,,2022-02-12 21:40:02,,,,False,False,False,1.0,,,,,,,False,,,,,,
81942.0,81941.0,37.561353,-122.32616,desk B,,,,,,,,,,,,,,,,,,,2022-02-12 21:40:26,,,,False,False,False,0.0,,,,,,,False,,,,,,
64242.0,64241.0,37.886945,-122.277245,Desk B,,,,,,,,,,,,,,,,,,,2022-02-12 21:41:03,,,,False,False,False,0.0,,,,,,,False,,,,,,
39164.0,39163.0,39.757815,-105.003792,DeSmog Denver Commons Park B,,3781.66,,,,,,,,,,,,,,,,,2022-02-12 21:39:46,,,,False,True,False,1.0,,,,,,,False,2.16,3.16,4.08,30.3,30.78,12.68
86736.0,86735.0,38.467501,-122.645682,Desoto Dr B,,,,,,,,,,,,,,,,,,,2022-02-12 21:40:01,,,,False,False,False,1.0,,,,,,,False,,,,,,
121652.0,121651.0,40.576157,-111.787847,Despain Farm B,,4.32,,,,,,,,,,,,,,,,,2022-02-12 21:40:54,,,,False,False,False,0.0,,,,,,,False,3.99,2.73,1.84,0.78,1.98,4.09
78306.0,78305.0,37.41371,-122.013736,Detati Digital Marketing / Pacific Light Studios B,,14.31,,,,,,,,,,,,,,,,,2022-02-12 21:40:00,,,,False,False,False,1.0,,,,,,,False,14.99,16.76,19.32,23.04,22.02,21.7
85728.0,85727.0,37.962737,-122.270968,Devils Drop Ct B,,27.31,,,,,,,,,,,,,,,,,2022-02-12 21:39:43,,,,False,False,False,1.0,,,,,,,False,27.97,27.76,27.09,20.12,13.02,14.21
85476.0,85475.0,37.63,-119.0835,Devils Postpile Ranger Station B,,0.0,,,,,,,,,,,,,,,,,2022-02-12 21:40:54,,,,False,False,False,0.0,,,,,,,False,0.02,0.03,0.07,0.21,0.11,0.09
42098.0,42097.0,40.739105,-111.80637,Devonshire Dr. B,,14.68,,,,,,,,,,,,,,,,,2022-02-12 21:40:48,,,,False,True,False,0.0,,,,,,,False,12.68,11.94,12.56,14.61,17.29,18.86
48984.0,48983.0,23.790155,90.404999,Dhaka Banani B,,159.44,,,,,,,,,,,,,,,,,2022-02-12 21:41:25,,,,False,False,False,0.0,,,,,,,False,158.23,156.38,151.65,124.86,141.96,53.06
73268.0,73267.0,38.596664,-122.530752,DHC B,,2.02,,,,,,,,,,,,,,,,,2022-02-12 21:40:05,,,,False,False,False,1.0,,,,,,,False,1.56,1.51,1.63,4.32,3.69,3.8
31124.0,31123.0,40.487007,23.020798,Dhmotiko Tagaradon B,,17.04,,,,,,,,,,,,,,,,,2022-02-12 21:40:23,,,,False,False,False,1.0,,,,,,,False,21.32,24.42,27.43,26.04,18.41,15.46
122236.0,122235.0,36.33753,-119.355358,DHome B,,31.91,,,,,,,,,,,,,,,,,2022-02-12 21:40:36,,,,False,False,False,0.0,,,,,,,False,32.97,37.37,39.49,41.66,41.0,40.29
117002.0,117001.0,37.89701,-122.10828,Diablo Valley Montessori School B,,28.54,,,,,,,,,,,,,,,,,2022-02-12 21:39:51,,,,False,False,False,1.0,,,,,,,False,28.69,29.28,28.04,16.18,9.21,10.99
111927.0,111926.0,48.718523,-121.148416,"Diablo, WA B",,0.0,,,,,,,,,,,,,,,,,2022-02-12 21:39:46,,,,False,False,False,1.0,,,,,,,False,0.0,0.02,0.04,0.06,0.11,0.16
67932.0,67931.0,37.890228,-122.15684,DiabloCircle B,,,,,,,,,,,,,,,,,,,2022-02-12 21:40:38,,,,False,False,False,0.0,,,,,,,False,,,,,,
63578.0,63577.0,38.1604,-121.7038,Diamante_10 B,,23.97,,,,,,,,,,,,,,,,,2022-02-12 21:41:00,,,,False,False,False,0.0,,,,,,,False,26.11,29.55,32.53,35.4,34.13,28.71
69420.0,69419.0,37.738353,-122.436118,Diamond / Conrad B,,32.32,,,,,,,,,,,,,,,,,2022-02-12 21:41:02,,,,False,False,False,0.0,,,,,,,False,33.21,33.48,33.25,24.02,16.29,17.8
75514.0,75513.0,38.30324,-122.548278,Diamond A B,,13.16,,,,,,,,,,,,,,,,,2022-02-12 21:40:36,,,,False,False,False,0.0,,,,,,,False,12.57,11.43,10.79,8.45,5.81,5.88
71888.0,71887.0,37.362312,-122.088976,Diamond Court B,,,,,,,,,,,,,,,,,,,2022-02-12 21:40:35,,,,False,False,False,0.0,,,,,,,False,,,,,,
21228.0,21227.0,37.739245,-122.439067,Diamond Heights B,,29.75,,,,,,,,,,,,,,,,,2022-02-12 21:39:48,,,,False,True,False,1.0,,,,,,,False,30.66,31.13,30.45,18.96,15.79,17.71
69244.0,69243.0,37.74496,-122.438463,Diamond Heights Blvd B,,28.95,,,,,,,,,,,,,,,,,2022-02-12 21:40:07,,,,False,False,False,1.0,,,,,,,False,30.07,30.72,30.4,20.88,13.77,15.13
72464.0,72463.0,37.739189,-122.439011,Diamond Heights Inside B,,,,,,,,,,,,,,,,,,,2022-02-12 21:39:28,,,,False,False,False,1.0,,,,,,,False,,,,,,
14114.0,14113.0,39.432391,-119.794786,Diamond J B,,4.64,,,,,,,,,,,,,,,,,2022-02-12 21:40:21,,,,False,False,False,1.0,,,,,,,False,4.31,4.38,4.53,3.21,2.52,3.62
